LID_Type,Ratio,Total_Runoff,Peak_Runoff,Red_Total,Red_Peak
RAIN_GARDEN,98,18267.278224594695,1.6096601539598296,54.36814969231853,30.074473167939487
RAIN_GARDEN,99,18043.525718199642,1.56490599046082,54.92708577202639,32.01864657180852
RAIN_GARDEN,100,17819.619697044516,1.5189130425888409,55.48640533319576,34.01663422317453
GREEN_ROOF,0,40031.85954859179,2.3019635702219814,0.0,0.0
GREEN_ROOF,1,39826.65787354065,2.2658819466866373,0.5125959107696754,1.5674280862691736
GREEN_ROOF,2,39619.858197208014,2.229597481542774,1.0291836453005132,3.143667850148857
GREEN_ROOF,3,39412.803298546234,2.1935258227928025,1.5464089278543924,4.710663054442776
GREEN_ROOF,4,39205.62751769187,2.1577072050094266,2.063936175378056,6.266665862077215
GREEN_ROOF,5,38998.38003608539,2.122157325426592,2.581642532123518,7.810994366780988
GREEN_ROOF,6,38791.0878733471,2.086884274811548,3.0994605027992894,9.343297096126191
GREEN_ROOF,7,38583.76643125921,2.0518923620651806,3.6173516135937778,10.863386866399715
GREEN_ROOF,8,38376.42768535803,2.0171853246167464,4.135285949493184,12.37110131928688
GREEN_ROOF,9,38169.06586215843,1.982765691922734,4.653277932723188,13.866330572228236
GREEN_ROOF,10,37961.732896574475,1.948634953590068,5.171197829330254,15.349009914950196
GREEN_ROOF,11,37754.51454444807,1.9147941775665125,5.68883142033263,16.819092954548086
GREEN_ROOF,12,37547.27685757204,1.8812444004555102,6.206513309739947,18.2765346597514
GREEN_ROOF,13,37340.06538178487,1.8479864033572935,6.724129723575656,19.721301098649025
GREEN_ROOF,14,37132.89409534995,1.8201709276052158,7.241645743992975,20.929638020740082
GREEN_ROOF,15,36925.75931035617,1.8331827391128888,7.7590705834320595,20.364389652955605
GREEN_ROOF,16,36718.66767640627,1.8444020773386107,8.276387631116345,19.877008428906084
GREEN_ROOF,17,36511.627398651806,1.8531756075199513,8.793576390492252,19.49587597768774
GREEN_ROOF,18,36304.38225292408,1.8584938925965213,9.311276912188394,19.26484343028485
GREEN_ROOF,19,36097.37482129384,1.8625977039387942,9.828383621605596,19.08656904769429
GREEN_ROOF,20,35888.86130120271,1.8656320545262906,10.349252555605592,18.954753295840167
GREEN_ROOF,21,35681.59720310931,1.8682088930895462,10.867000420507589,18.842812403439023
GREEN_ROOF,22,35474.6650755084,1.8700776643383297,11.383919019679167,18.76163078645091
GREEN_ROOF,23,35267.60930353554,1.8712088305221382,11.901146483773184,18.712491599435044
GREEN_ROOF,24,35059.05305516905,1.8714981943631008,12.422122153447823,18.699921294469934
GREEN_ROOF,25,34851.59421753395,1.8711283626408817,12.940356479743064,18.715987218666264
GREEN_ROOF,26,34644.147697942426,1.8700197181004177,13.458560035437795,18.764148039054795
GREEN_ROOF,27,34436.70931058628,1.8681717348202997,13.97674327672428,18.844426602278965
GREEN_ROOF,28,34229.27388963863,1.8655845133593445,14.4949191078916,18.95681853994572
GREEN_ROOF,29,34021.806702220645,1.863346554998459,15.013174292031017,19.054038078509905
GREEN_ROOF,30,33814.30799427557,1.8603937809789146,15.531508214773737,19.182310048481156
GREEN_ROOF,31,33606.75282344466,1.8565819229639247,16.049983182390413,19.347901635780794
GREEN_ROOF,32,33400.467348346596,1.852021049040392,16.565286436908643,19.54603135349361
GREEN_ROOF,33,33193.34983475649,1.8464826389471052,17.08266813220237,19.786626390049843
GREEN_ROOF,34,32986.2213198345,1.8400022682624348,17.600077308937145,20.068141300559283
GREEN_ROOF,35,32777.93300129164,1.8324865182967003,18.12038368713582,20.394634302575376
GREEN_ROOF,36,32567.33694714136,1.8240773380974218,18.646454812796755,20.759938962825398
GREEN_ROOF,37,32356.657777439945,1.8149269297695376,19.17273356196574,21.157443443185254
GREEN_ROOF,38,32145.929013116955,1.8050322067543116,19.699136199013367,21.587281827390083
GREEN_ROOF,39,31935.03166542501,1.7943756759619947,20.225959959063665,22.050214035795513
GREEN_ROOF,40,31724.161335724788,1.782989633972393,20.752716227890655,22.5448370670585
GREEN_ROOF,41,31513.256692734703,1.7708636029270157,21.2795582116713,23.071606091652917
GREEN_ROOF,42,31302.363869145913,1.757998741835625,21.806370670465036,23.630470760834022
GREEN_ROOF,43,31091.725029139565,1.7444320008908831,22.33254867563781,24.219825914852976
GREEN_ROOF,44,30880.655666015224,1.7300684040081533,22.859802132020825,24.843797426328496
GREEN_ROOF,45,30669.655927274234,1.714976803028355,23.3868816659727,25.499394290458845
GREEN_ROOF,46,30457.470662582873,1.698961479342404,23.916922656034146,26.195118753396653
GREEN_ROOF,47,30246.003118713325,1.6823186327474804,24.445170772045,26.918103548213313
GREEN_ROOF,48,30034.53097790731,1.664934011662942,24.97343037125078,27.673311897703478
GREEN_ROOF,49,29823.026122007213,1.6468028727955883,25.501771693100615,28.46094985609242
GREEN_ROOF,50,29611.487675988657,1.6279243878994356,26.03019692341445,29.281053403358037
GREEN_ROOF,51,29399.91087194697,1.6082979979650052,26.558717972467562,30.13364682352836
GREEN_ROOF,52,29188.294577349043,1.5879227307172508,27.087337669339405,31.018772353372846
GREEN_ROOF,53,28976.64743216495,1.5668000319482205,27.61603443129519,31.936367185987578
GREEN_ROOF,54,28765.02360289792,1.5449340697918734,28.144672949848538,32.886250252739956
GREEN_ROOF,55,28553.420791023735,1.522328027953944,28.673258966736746,33.868283249715205
GREEN_ROOF,56,28341.731570079908,1.4989652308308192,29.202060834376375,34.883190584711464
GREEN_ROOF,57,28130.111887401163,1.4748715919913318,29.730688994709208,35.929846541876074
GREEN_ROOF,58,27919.46062354513,1.4501986875658524,30.25689803478725,37.00166647615506
GREEN_ROOF,59,27708.016820148398,1.4246471393083902,30.785086846850984,38.111655730024886
GREEN_ROOF,60,27496.57378122306,1.3983487227421325,31.313273749257263,39.254089820053586
GREEN_ROOF,61,27285.191337750235,1.4031060252667156,31.84130928359522,39.04742701330359
GREEN_ROOF,62,27074.063879186706,1.417180111082537,32.36870786298736,38.436032202461114
GREEN_ROOF,63,26861.689928399188,1.4311265979682246,32.899220192872335,37.830180438945035
GREEN_ROOF,64,26649.85876984482,1.4449938011479289,33.42837662213398,37.22777285269609
GREEN_ROOF,65,26437.938301284004,1.45879078825281,33.95775614871725,36.628415535171264
GREEN_ROOF,66,26226.059452856844,1.4725146519114487,34.48703170777535,36.03223478599828
GREEN_ROOF,67,26014.47144218662,1.486158229071028,35.01558075110269,35.439541776600926
GREEN_ROOF,68,25802.676120864737,1.4997337706755562,35.544647658586214,34.84980431158887
GREEN_ROOF,69,25590.437141448627,1.5132477290517565,36.07482282858672,34.262742094314206
GREEN_ROOF,70,25379.121421460357,1.5266682204625646,36.602691686968804,33.67974019174657
GREEN_ROOF,71,25167.653005095744,1.5400046738841138,37.13094198248137,33.10038899809309
GREEN_ROOF,72,24956.06291018314,1.5532751532250133,37.65949623226776,32.523903795956734
GREEN_ROOF,73,24744.69476006392,1.5664777008273492,38.18749606166028,31.950369628295572
GREEN_ROOF,74,24533.363557932054,1.579625528588032,38.71540359459752,31.379212554797007
GREEN_ROOF,75,24321.49107977188,1.5927237178308682,39.24466324066267,30.810211836789414
GREEN_ROOF,76,24109.05962265816,1.6056576215621334,39.77531922194644,30.24834787427597
GREEN_ROOF,77,23897.936532056974,1.6185049919436545,40.302706890123375,29.690243022065722
GREEN_ROOF,78,23686.661672991548,1.6312956757983446,40.83047367749676,29.13460069913111
